session_id,user_id,video_id,video_duration_s,event_type,video_time_s,event_time,device,playback_rate
s_v_000_0000,u_0624,v_000,900,play,0,2026-07-08T00:44:49Z,mobile,1.5
s_v_000_0001,u_0676,v_000,900,play,0,2026-06-24T08:11:36Z,desktop,1.5
s_v_000_0002,u_0059,v_000,900,play,0,2026-07-02T12:55:53Z,desktop,1.25
s_v_000_0003,u_0577,v_000,900,play,0,2026-07-03T09:11:41Z,tablet,1.0
s_v_000_0004,u_0653,v_000,900,play,0,2026-07-08T07:47:53Z,tablet,1.0
s_v_000_0005,u_0639,v_000,900,play,0,2026-07-07T19:17:14Z,desktop,1.0
s_v_000_0006,u_0083,v_000,900,play,0,2026-06-29T15:08:03Z,desktop,1.0
s_v_000_0007,u_0696,v_000,900,play,0,2026-07-10T17:37:48Z,mobile,1.0
s_v_000_0008,u_0462,v_000,900,play,0,2026-07-04T03:57:41Z,desktop,1.25
s_v_000_0009,u_0088,v_000,900,play,0,2026-07-02T04:37:02Z,desktop,1.25
s_v_000_0010,u_0706,v_000,900,play,0,2026-06-21T03:00:50Z,mobile,1.0
s_v_000_0011,u_0331,v_000,900,play,0,2026-06-22T13:12:06Z,mobile,1.0
s_v_000_0012,u_0259,v_000,900,play,0,2026-07-11T07:50:48Z,desktop,1.25
s_v_000_0013,u_0671,v_000,900,play,0,2026-07-01T17:29:53Z,tablet,1.0
s_v_000_0014,u_0797,v_000,900,play,0,2026-07-12T10:28:22Z,mobile,1.0
s_v_000_0015,u_0466,v_000,900,play,0,2026-07-04T12:31:51Z,desktop,1.0
s_v_000_0016,u_0371,v_000,900,play,0,2026-07-01T07:18:44Z,desktop,1.0
s_v_000_0017,u_0720,v_000,900,play,0,2026-06-28T20:29:09Z,mobile,1.0
s_v_000_0018,u_0150,v_000,900,play,0,2026-07-04T22:55:22Z,desktop,1.0
s_v_000_0019,u_0702,v_000,900,play,0,2026-07-06T00:20:12Z,tablet,1.0
s_v_000_0020,u_0737,v_000,900,play,0,2026-07-05T03:41:51Z,desktop,1.25
s_v_000_0021,u_0520,v_000,900,play,0,2026-07-03T18:49:00Z,mobile,1.5
s_v_000_0022,u_0811,v_000,900,play,0,2026-06-27T23:50:52Z,desktop,1.0
s_v_000_0023,u_0090,v_000,900,play,0,2026-07-06T13:02:41Z,mobile,1.0
s_v_000_0024,u_0496,v_000,900,play,0,2026-07-05T01:24:18Z,desktop,1.0
s_v_000_0025,u_0018,v_000,900,play,0,2026-06-30T10:39:08Z,desktop,1.0
s_v_000_0026,u_0054,v_000,900,play,0,2026-07-07T17:53:28Z,desktop,1.0
s_v_000_0027,u_0490,v_000,900,play,0,2026-06-29T09:39:08Z,desktop,1.5
s_v_000_0028,u_0306,v_000,900,play,0,2026-06-30T15:04:20Z,desktop,1.5
s_v_000_0029,u_0016,v_000,900,play,0,2026-07-08T07:56:26Z,desktop,1.0
s_v_000_0030,u_0274,v_000,900,play,0,2026-06-29T09:19:05Z,mobile,1.0
s_v_000_0031,u_0399,v_000,900,play,0,2026-06-22T13:18:52Z,desktop,1.0
